,hebrewFromSub,englishFromSub,englishTranslation,ratio
0,חליפה יפה ,Beautiful suit You like it ,A beautiful suit,67
1,היא צרפתית ,It's French ,She's French,78
2,הו בוא נשיג משקה ונדבר ,Let's go get a drink and talk ,Oh let's get a drink and talk,90
3,לא דורש ידע או כשרון באלקטרוניקה  בחייך זה משעמם ,Requiring no knowledge or skill in electronics Come on It's a bore ,Does not require knowledge or talent in electronics in your life it is boring,69
4,ה טי אי-30 ניתן להתקנה והסתרה  מתחת ללוח-המכשירים בתוך שניות ,The TA-30 may be installed and concealed  under the dash in a matter of seconds Hey come on ,The T-30 can be installed and hidden under the instrument panel in seconds,71
5,היי בוא יש מישהו שאני רוצה שתפגוש מתחרה שלך ,There's somebody I want you to meet  a competitor of yours ,Hey let's there be someone i want you to meet your competitor,83
6,זהו הארי קול ויליאם פ ,This is Harry Caul ,This is Harry Cole William P,70
7,הארי קול העונג שלי ,Harry Caul my pleasure ,Harry is my pleasure voice,71
8,ידידי קוראים לי בארני שמעתי הרבה עליך ,I heard a lot about you ,My friends call me Barney I heard a lot about you,64
9,בארני עבר לפה רק עכשיו מדטרויט ,Bernie just moved in from Detroit ,Barney has just moved here from Detroit,81
10,רציתי לדבר אתך מזה זמן רב ,I've been wanting to talk to you for a long time Take five ,I wanted to talk to you for a long time,76
11,ניקח הפסקה נשיג לנו משקה ,We'll get a drink ,We'll take a break and get us a drink,63
12,אולי תוך כמה דקות ,Maybe in a couple minutes ,Maybe in a few minutes,85
13,הייתי מעריך אם תישאר בסביבה להדגמה ,I'd appreciate if you stuck around for the demonstration ,I would appreciate if you would stay around for a demonstration,82
14,הממ  גבירותי ורבותי ,Ladies and gentlemen ,Hmm ladies and gentlemen,91
15,גבירותי ורבותי ,Ladies and gentlemen ,ladies and gentlemen,100
